bandpass_hz,window_seconds,n_pass,te_diff,ci_low,ci_high,wilcoxon_p,passed
"(0.15, 0.4)",20.0,15,0.03134048287687413,0.013814027421731292,0.04913414806176458,0.0062255859375,True
"(0.15, 0.4)",30.0,15,0.025843712800771745,0.0036671580688490495,0.049633629631832606,0.0318603515625,True
"(0.15, 0.4)",45.0,15,0.02203089810005426,-0.0036720911387401033,0.04910230203584313,0.0206298828125,False
"(0.1, 0.5)",20.0,17,0.021966693677827803,0.011106009274622401,0.034747523058572365,0.0008392333984375,True
"(0.1, 0.5)",30.0,17,0.01801081765527826,0.003947180579819025,0.035329556526533155,0.0116119384765625,True
"(0.1, 0.5)",45.0,17,0.015932151237493124,-0.0012091512550399253,0.03525120185638607,0.0152587890625,False
"(0.05, 0.6)",20.0,19,0.010792391173897757,0.0010119934994037823,0.023597465312280082,0.018033981323242188,True
"(0.05, 0.6)",30.0,19,0.006967108606304282,-0.006759538411593736,0.02486004419500994,0.14674949645996094,False
"(0.05, 0.6)",45.0,19,0.0054865626166644525,-0.011597338393670515,0.02749412968565356,0.27060890197753906,False
